CUTM1K,Longitude,Latitude,Taxonomic groups,Genus,Species,Confirmed
PG8250,-6.7983498243,41.9834567978,Reptiles,Vipera,Vipera latastei,"1"
PG8250,-6.7983498243,41.9834567978,Mammals,Vulpes,Vulpes vulpes,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Xolantha,Xolantha guttata,"1"
PG8350,-6.7862873709,41.9832247124,Birds,Alauda,Alauda arvensis,"1"
PG8350,-6.7862873709,41.9832247124,Birds,Alectoris,Alectoris rufa,"1"
PG8350,-6.7862873709,41.9832247124,Birds,Anthus,Anthus campestris,"1"
PG8350,-6.7862873709,41.9832247124,Birds,Cecropis,Cecropis daurica,"1"
PG8350,-6.7862873709,41.9832247124,Birds,Cuculus,Cuculus canorus,"1"
PG8350,-6.7862873709,41.9832247124,Birds,Curruca,Curruca communis,"1"
PG8350,-6.7862873709,41.9832247124,Birds,Curruca,Curruca undata,"1"
PG8350,-6.7862873709,41.9832247124,Birds,Emberiza,Emberiza cia,"1"
PG8350,-6.7862873709,41.9832247124,Birds,Erithacus,Erithacus rubecula,"1"
PG8350,-6.7862873709,41.9832247124,Birds,Gyps,Gyps fulvus,"1"
PG8350,-6.7862873709,41.9832247124,Birds,Hieraaetus,Hieraaetus pennatus,"1"
PG8350,-6.7862873709,41.9832247124,Birds,Lanius,Lanius collurio,"1"
PG8350,-6.7862873709,41.9832247124,Birds,Lanius,Lanius meridionalis,"1"
PG8350,-6.7862873709,41.9832247124,Birds,Linaria,Linaria cannabina,"1"
PG8350,-6.7862873709,41.9832247124,Birds,Lophophanes,Lophophanes cristatus,"1"
PG8350,-6.7862873709,41.9832247124,Birds,Lullula,Lullula arborea,"1"
PG8350,-6.7862873709,41.9832247124,Birds,Motacilla,Motacilla alba,"1"
PG8350,-6.7862873709,41.9832247124,Reptiles,Natrix,Natrix maura,"1"
PG8350,-6.7862873709,41.9832247124,Flora (vascular plants),Pedicularis,Pedicularis sylvatica,"1"
PG8350,-6.7862873709,41.9832247124,Birds,Phylloscopus,Phylloscopus bonelli,"1"
PG8350,-6.7862873709,41.9832247124,Flora (vascular plants),Pinus,Pinus sylvestris,"1"
PG8350,-6.7862873709,41.9832247124,Birds,Prunella,Prunella modularis,"1"
PG8350,-6.7862873709,41.9832247124,Birds,Ptyonoprogne,Ptyonoprogne rupestris,"1"
PG8350,-6.7862873709,41.9832247124,Amphibians,Rana,Rana iberica,"1"
PG8350,-6.7862873709,41.9832247124,Birds,Saxicola,Saxicola rubicola,"1"
PG8350,-6.7862873709,41.9832247124,Birds,Serinus,Serinus serinus,"1"
PG8350,-6.7862873709,41.9832247124,Birds,Sylvia,Sylvia atricapilla,"1"
PG8350,-6.7862873709,41.9832247124,Birds,Troglodytes,Troglodytes troglodytes,"1"
PG8350,-6.7862873709,41.9832247124,Birds,Turdus,Turdus merula,"1"
PG8450,-6.7742250598,41.9829913606,Flora (vascular plants),Angelica,Angelica major,"1"
PG8450,-6.7742250598,41.9829913606,Mammals,Capreolus,Capreolus capreolus,"1"
PG8450,-6.7742250598,41.9829913606,Mammals,Cervus,Cervus elaphus,"1"
PG8450,-6.7742250598,41.9829913606,Flora (vascular plants),Doronicum,Doronicum carpetanum,"1"
PG8450,-6.7742250598,41.9829913606,Mammals,Felis,Felis silvestris,"1"
PG8450,-6.7742250598,41.9829913606,Flora (vascular plants),Juncus,Juncus squarrosus,"1"
PG8450,-6.7742250598,41.9829913606,Flora (vascular plants),Rhinanthus,Rhinanthus minor,"1"
PG8450,-6.7742250598,41.9829913606,Mammals,Sus,Sus scrofa,"1"
PG8450,-6.7742250598,41.9829913606,Flora (vascular plants),Thymus,Thymus pulegioides,"1"
PG8450,-6.7742250598,41.9829913606,Mammals,Vulpes,Vulpes vulpes,"1"
PG5049,-7.184674679,41.9812125791,Reptiles,Podarcis,Podarcis guadarramae,"1"
PG5149,-7.1726097784,41.9810210996,Reptiles,Psammodromus,Psammodromus algirus,"1"
PG5149,-7.1726097784,41.9810210996,Reptiles,Timon,Timon lepidus,"1"
PG5249,-7.1605449952,41.9808283528,Amphibians,Bufo,Bufo spinosus,"1"
PG5249,-7.1605449952,41.9808283528,Reptiles,Podarcis,Podarcis guadarramae,"1"
PG5349,-7.1484803303,41.9806343389,Birds,Alauda,Alauda arvensis,"1"
PG5349,-7.1484803303,41.9806343389,Birds,Alectoris,Alectoris rufa,"1"
PG5349,-7.1484803303,41.9806343389,Birds,Anthus,Anthus campestris,"1"
PG5349,-7.1484803303,41.9806343389,Birds,Aquila,Aquila chrysaetos,"1"
PG5349,-7.1484803303,41.9806343389,Birds,Circaetus,Circaetus gallicus,"1"
PG5349,-7.1484803303,41.9806343389,Birds,Cuculus,Cuculus canorus,"1"
PG5349,-7.1484803303,41.9806343389,Birds,Curruca,Curruca communis,"1"
PG5349,-7.1484803303,41.9806343389,Birds,Curruca,Curruca undata,"1"
PG5349,-7.1484803303,41.9806343389,Birds,Emberiza,Emberiza calandra,"1"
PG5349,-7.1484803303,41.9806343389,Birds,Emberiza,Emberiza cia,"1"
PG5349,-7.1484803303,41.9806343389,Birds,Lanius,Lanius meridionalis,"1"
PG5349,-7.1484803303,41.9806343389,Birds,Linaria,Linaria cannabina,"1"
PG5349,-7.1484803303,41.9806343389,Birds,Luscinia,Luscinia megarhynchos,"1"
PG5349,-7.1484803303,41.9806343389,Birds,Motacilla,Motacilla alba,"1"
PG5349,-7.1484803303,41.9806343389,Birds,Oenanthe,Oenanthe oenanthe,"1"
PG5349,-7.1484803303,41.9806343389,Birds,Pica,Pica pica,"1"
PG5349,-7.1484803303,41.9806343389,Birds,Saxicola,Saxicola rubicola,"1"
PG5349,-7.1484803303,41.9806343389,Birds,Troglodytes,Troglodytes troglodytes,"1"
PG5549,-7.1243513583,41.9802425095,Flora (vascular plants),Erica,Erica tetralix,"1"
PG5549,-7.1243513583,41.9802425095,Flora (vascular plants),Linaria,Linaria elegans,"1"
PG5549,-7.1243513583,41.9802425095,Flora (vascular plants),Luzula,Luzula lactea,"1"
PG5549,-7.1243513583,41.9802425095,Flora (vascular plants),Nardus,Nardus stricta,"1"
PG5549,-7.1243513583,41.9802425095,Flora (vascular plants),Simethis,Simethis mattiazzi,"1"
PG5549,-7.1243513583,41.9802425095,Flora (vascular plants),Solidago,Solidago virgaurea,"1"
PG5549,-7.1243513583,41.9802425095,Flora (vascular plants),Wahlenbergia,Wahlenbergia hederacea,"1"
PG5749,-7.1002228687,41.9798456118,Reptiles,Timon,Timon lepidus,"1"
PG8249,-6.7986599671,41.974456867,Flora (vascular plants),Achillea,Achillea millefolium,"1"
PG8249,-6.7986599671,41.974456867,Flora (vascular plants),Agrostis,Agrostis castellana,"1"
PG8249,-6.7986599671,41.974456867,Flora (vascular plants),Agrostis,Agrostis curtisii,"1"
PG8249,-6.7986599671,41.974456867,Flora (vascular plants),Agrostis,Agrostis truncatula,"1"
PG8249,-6.7986599671,41.974456867,Reptiles,Anguis,Anguis fragilis,"1"
PG8249,-6.7986599671,41.974456867,Flora (vascular plants),Anthoxanthum,Anthoxanthum amarum,"1"
PG8249,-6.7986599671,41.974456867,Flora (vascular plants),Anthoxanthum,Anthoxanthum odoratum,"1"
PG8249,-6.7986599671,41.974456867,Birds,Anthus,Anthus campestris,"1"
PG8249,-6.7986599671,41.974456867,Birds,Anthus,Anthus trivialis,"1"
PG8249,-6.7986599671,41.974456867,Flora (vascular plants),Arenaria,Arenaria montana,"1"
PG8249,-6.7986599671,41.974456867,Flora (vascular plants),Arnoseris,Arnoseris minima,"1"
PG8249,-6.7986599671,41.974456867,Flora (vascular plants),Arrhenatherum,Arrhenatherum elatius,"1"
PG8249,-6.7986599671,41.974456867,Flora (vascular plants),Avenula,Avenula sulcata,"1"
PG8249,-6.7986599671,41.974456867,Flora (vascular plants),Betula,Betula pubescens,"1"
PG8249,-6.7986599671,41.974456867,Flora (vascular plants),Briza,Briza media,"1"
